song_id,song_name,singer,music_director,language,Popularity,Danceability,Duration(ms),Energy,Instrumentalness,Key,Liveliness,Loudness(dB),Mode,Speechiness,Tempo,Time_Signature,Valence(float)
1,Marana Mass,Anirudh Ravichander,Anirudh Ravichander,Tamil,95,0.8,210000,0.85,0.02,1,0.66,-5.2,1,0.03,132,4,0.89
2,Vaathi Coming,Vijay,Rahman,Tamil,90,0.75,220000,0.8,0.03,7,0.4,-5.5,1,0.02,130,4,0.78
3,Rowdy Baby,Dhee,Yuvan Shankar Raja,Tamil,95,0.9,230000,0.85,0.01,4,0.45,-4.8,1,0.05,125,4,0.82
4,Chill Bro,Dhanush,Santhosh Narayanan,Tamil,88,0.83,240000,0.76,0.02,3,0.5,-6,0,0.04,118,4,0.79
5,Enjoy Enjaami,Dhee,Santhosh Narayanan,Tamil,97,0.95,250000,0.9,0,6,0.6,-3.5,1,0.03,115,4,0.87
6,Rakita Rakita,Dhanush,Anirudh Ravichander,Tamil,89,0.78,200000,0.72,0.04,2,0.48,-5.8,1,0.06,122,4,0.76
7,Master The Blaster,Anirudh Ravichander,Anirudh Ravichander,Tamil,92,0.88,210000,0.82,0.03,5,0.37,-5.1,1,0.05,128,4,0.85
8,Aalaporan Thamizhan,Sid Sriram,Rahman,Tamil,94,0.87,245000,0.9,0.02,6,0.42,-4.9,1,0.04,115,4,0.83
9,Inna Mylu,Anthony Daasan,Vivek-Mervin,Tamil,87,0.8,220000,0.73,0.01,4,0.39,-6.3,1,0.07,130,4,0.74
10,Marana Mass,S.P. Balasubrahmanyam,Anirudh Ravichander,Tamil,91,0.85,230000,0.81,0.03,7,0.43,-5.2,1,0.02,126,4,0.81
11,Sodakku,Anthony Daasan,Anirudh Ravichander,Tamil,85,0.75,215000,0.77,0.05,2,0.4,-6.1,1,0.06,124,4,0.79
12,Why This Kolaveri Di,Dhanush,Anirudh Ravichander,Tamil,98,0.96,255000,0.92,0.01,5,0.47,-4.2,1,0.02,110,4,0.88
13,Vera Level Sago,Anirudh Ravichander,Hiphop Tamizha,Tamil,88,0.81,205000,0.7,0.03,3,0.35,-6.5,0,0.05,120,4,0.75
